Nombre,Apellido,DNI,Edad,Posición,Equipo,images/jugadores/Equipo/NombreApellido.3.png
Lamin,Jamal,12345678A,22,Delantero,Barcelona
Lionel,Pepsi,87654321B,28,Defensa,Barcelona,images/jugadores/Barcelona/LionelPepsi.3.png
Karim,Abad,11223344C,29,Mediocampista,Barcelona,images/jugadores/Barcelona/KarimAbad.3.png
Malek,Salomon,22334455D,26,Portero,Barcelona,images/jugadores/Barcelona/MalekSalomon.3.png
Daim,Benitez,33445566E,25,Defensa,Barcelona,images/jugadores/Barcelona/DaimBenitez.3.png
Vadhir,Granadino,44556677F,29,Delantero,Barcelona,images/jugadores/Barcelona/VadhirGranadino.3.png
Jalel,Alaoui,55667788G,31,Delantero,Barcelona,images/jugadores/Barcelona/JalelAlaoui.3.png
Paco,Rabales,66778899H,28,Mediocampista,Barcelona,images/jugadores/Barcelona/PacoRabales.3.png
Mohammed,Arduino,77889900I,26,Defensa,Barcelona,images/jugadores/Barcelona/MohammedArduino.3.png
Hermenegildo,Augusto,88990011J,30,Portero,Barcelona,images/jugadores/Barcelona/HermenegildoAugusto.3.png
Karlos,Ardillano,45612378A,30,Central,Bilbao,images/jugadores/Bilbao/KarlosArdillano.3.png
Fito,Cabritos,67834590C,27,Extremo izquierdo,Bilbao,images/jugadores/Bilbao/FitoCabritos.3.png
Juan,Alberdi,78945601D,29,Pivote,Bilbao,images/jugadores/Bilbao/JuanAlberdi.3.png
Patxi,Alonso,89056712E,34,Portero,Bilbao,images/jugadores/Bilbao/PatxiAlonso.3.png
Andoni,Azpilikueta,90167823F,31,Lateral izquierdo,Bilbao,images/jugadores/Bilbao/AndoniAzpilikueta.3.png
Xabier,Garrogerrikaetxebarria,01278934G,26,Central,Bilbao,images/jugadores/Bilbao/XabierGarrogerrikaetxebarria.3.png
Mikel,Reta,12389045H,30,Extremo derecho,Bilbao,images/jugadores/Bilbao/MikelReta.3.png
Iñaki,Willy,23490156I,28,Pivote,Bilbao,images/jugadores/Bilbao/IñakiWilly.3.png
Aimar,Rivero,34501267J,27,Extremo izquierdo,Bilbao,images/jugadores/Bilbao/AimarRivero.3.png
Ekaitz,Olabeaga,45612378K,30,Lateral derecho,Bilbao,images/jugadores/Bilbao/EkaitzOlabeaga.3.png
Jacinto,Rodriguez,99001122K,25,Portero,Cáceres,images/jugadores/Cáceres/JacintoRodriguez.3.png
Jose Manuel,Gonzalez,00112233L,24,Extremo izquierdo,Cáceres,images/jugadores/Cáceres/Jose ManuelGonzalez.3.png
Marcelino,Perez,11223344M,26,Lateral izquierdo,Cáceres,images/jugadores/Cáceres/MarcelinoPerez.3.png
Gumesindo,Padilla,22334455N,29,Central,Cáceres,images/jugadores/Cáceres/GumesindoPadilla.3.png
Anselmo,García,56789012E,37,Lateral derecho,Cáceres,images/jugadores/Cáceres/AnselmoGarcía.3.png
Fulgencio,Martínez,67890123F,29,Extremo derecho,Cáceres,images/jugadores/Cáceres/FulgencioMartínez.3.png
Isidoro,López,78901234G,31,Pivote,Cáceres,images/jugadores/Cáceres/IsidoroLópez.3.png
Tadeo,Jonás,89012345H,25,Suplente lateral izquierdo,Cáceres,images/jugadores/Cáceres/TadeoJonás.3.png
